,DATE_TIME_CST,LATITUDE,LONGITUDE,WEATHER_ID,WEATHER_DESCRIPTION,WEATHER_ICON,TEMPERATURE,HUMIDITY_PERCENT,VISIBILITY_METERS,WIND_SPEED_MPH,DANGER_LEVELS
123,04-24-2022 19:39:31,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
124,04-24-2022 19:39:33,32.9354,-96.682,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
125,04-24-2022 19:39:34,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
126,04-24-2022 19:39:35,32.9381,-96.733,201,thunderstorm with rain,11d,66.7,87,4828,16.11,MODERATE
127,04-24-2022 19:39:37,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
128,04-24-2022 19:39:38,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
129,04-24-2022 19:39:39,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
130,04-24-2022 19:39:40,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
131,04-24-2022 19:39:42,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
132,04-24-2022 19:39:43,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
133,04-24-2022 19:39:44,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
134,04-24-2022 19:39:45,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
135,04-24-2022 19:39:46,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
136,04-24-2022 19:39:48,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
137,04-24-2022 19:39:49,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
138,04-24-2022 19:39:50,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
139,04-24-2022 19:39:51,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
140,04-24-2022 19:39:53,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
141,04-24-2022 19:39:54,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
142,04-24-2022 19:39:55,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
143,04-24-2022 19:39:57,32.9397,-96.764,201,thunderstorm with rain,11d,66.56,87,4828,16.11,MODERATE
144,04-24-2022 19:39:58,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
145,04-24-2022 19:39:59,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
146,04-24-2022 19:40:00,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
147,04-24-2022 19:40:01,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
148,04-24-2022 19:40:03,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
149,04-24-2022 19:40:04,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
150,04-24-2022 19:40:05,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
151,04-24-2022 19:40:06,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
152,04-24-2022 19:40:08,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
153,04-24-2022 19:40:09,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
154,04-24-2022 19:40:10,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
155,04-24-2022 19:40:11,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
156,04-24-2022 19:40:13,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
157,04-24-2022 19:40:14,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
158,04-24-2022 19:40:15,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
159,04-24-2022 19:40:16,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
160,04-24-2022 19:40:17,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
161,04-24-2022 19:40:19,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
162,04-24-2022 19:40:20,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
163,04-24-2022 19:40:21,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
