"US0075 , US , 33.0003 , -96.709"
"US0075 , US , 32.9424 , -96.743"
"US0075 , US , 32.9418 , -96.743"
"US0075 , US , 32.9415 , -96.744"
"US0075 , US , 32.9920 , -96.710"
"US0075 , US , 32.9919 , -96.710"
"US0075 , US , 32.9907 , -96.710"
"US0075 , US , 32.9898 , -96.710"
"US0075 , US , 32.9802 , -96.714"
"US0075 , US , 32.9800 , -96.714"
"US0075 , US , 32.9797 , -96.714"
"US0075 , US , 32.9790 , -96.714"
"US0075 , US , 32.9782 , -96.715"
"US0075 , US , 32.9778 , -96.715"
"US0075 , US , 32.9760 , -96.716"
"US0075 , US , 32.9738 , -96.717"
"US0075 , US , 32.9735 , -96.717"
"US0075 , US , 32.9733 , -96.717"
"US0075 , US , 32.9726 , -96.718"
"US0075 , US , 32.9721 , -96.718"
"US0075 , US , 32.9715 , -96.719"
"US0075 , US , 32.9713 , -96.719"
"US0075 , US , 32.9712 , -96.719"
"US0075 , US , 32.9708 , -96.719"
"US0075 , US , 32.9703 , -96.719"
"US0075 , US , 32.9695 , -96.720"
"US0075 , US , 32.9692 , -96.720"
"US0075 , US , 32.9689 , -96.720"
"SH0190 , SH , 32.9987 , -96.673"
"SH0190 , SH , 32.9979 , -96.672"
"SH0190 , SH , 32.9974 , -96.671"
"SH0190 , SH , 32.9972 , -96.671"
"SH0190 , SH , 32.9970 , -96.671"
"SH0190 , SH , 32.9963 , -96.671"
"SH0190 , SH , 32.9949 , -96.670"
"SH0190 , SH , 32.9942 , -96.669"
"SH0190 , SH , 32.9936 , -96.669"
"SH0190 , SH , 32.9925 , -96.668"
"SH0190 , SH , 32.9918 , -96.668"
"SH0190 , SH , 32.9912 , -96.668"
"US0075 , US , 32.9847 , -96.712"
"US0075 , US , 32.9832 , -96.712"
"US0075 , US , 32.9819 , -96.713"
"US0075 , US , 32.9811 , -96.713"
"US0075 , US , 32.9805 , -96.714"
"US0075 , US , 32.9803 , -96.714"
"US0075 , US , 32.9413 , -96.744"
"US0075 , US , 32.9409 , -96.745"
"US0075 , US , 32.9405 , -96.745"
"US0075 , US , 32.9403 , -96.746"
"US0075 , US , 32.9935 , -96.710"
"US0075 , US , 32.9393 , -96.747"
"US0075 , US , 32.9390 , -96.747"
"US0075 , US , 32.9386 , -96.748"
"US0075 , US , 32.9385 , -96.748"
"SH0190 , SH , 33.0030 , -96.697"
"SH0190 , SH , 33.0026 , -96.691"
"SH0190 , SH , 33.0024 , -96.687"
"SH0190 , SH , 33.0020 , -96.682"
"SH0190 , SH , 33.0019 , -96.681"
"SH0190 , SH , 33.0018 , -96.680"
"SH0190 , SH , 33.0017 , -96.679"
"SH0190 , SH , 33.0014 , -96.678"
"SH0190 , SH , 33.0010 , -96.677"
"SH0190 , SH , 33.0006 , -96.676"
"SH0190 , SH , 33.0001 , -96.675"
"SH0190 , SH , 32.9992 , -96.674"
"US0075 , US , 32.9893 , -96.710"
"US0075 , US , 32.9888 , -96.710"
"US0075 , US , 32.9885 , -96.710"
"US0075 , US , 32.9878 , -96.711"
"US0075 , US , 32.9873 , -96.711"
"US0075 , US , 32.9869 , -96.711"
"US0075 , US , 32.9867 , -96.711"
"US0075 , US , 32.9863 , -96.711"
"US0075 , US , 33.0007 , -96.709"
"US0075 , US , 32.9568 , -96.731"
"US0075 , US , 32.9565 , -96.731"
"US0075 , US , 32.9552 , -96.732"
"US0075 , US , 32.9534 , -96.733"
"US0075 , US , 32.9526 , -96.733"
"US0075 , US , 32.9515 , -96.734"
"US0075 , US , 32.9495 , -96.735"
"US0075 , US , 32.9492 , -96.736"
"US0075 , US , 32.9477 , -96.737"
"US0075 , US , 32.9473 , -96.737"
"US0075 , US , 32.9468 , -96.737"
"US0075 , US , 32.9463 , -96.738"
"US0075 , US , 32.9456 , -96.739"
"US0075 , US , 32.9448 , -96.740"
"US0075 , US , 32.9444 , -96.740"
"US0075 , US , 32.9440 , -96.741"
"US0075 , US , 32.9437 , -96.741"
"US0075 , US , 32.9436 , -96.741"
"US0075 , US , 32.9433 , -96.742"
"US0075 , US , 32.9430 , -96.742"
"US0075 , US , 32.9426 , -96.743"
"US0075 , US , 32.9425 , -96.743"
"US0075 , US , 32.9414 , -96.743"
"US0075 , US , 32.9412 , -96.743"
